entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason,capital_before,capital_after
2023-06-28 09:15:00+05:30,2023-06-28 09:31:00+05:30,1194.2,1192.8,41,-77.40000000000373,SuperTrend Exit,-38982.200000000004,9845.19999999999
2023-06-28 09:50:00+05:30,2023-06-28 10:57:00+05:30,1196.0,1200.4,41,160.40000000000373,SuperTrend Exit,-39210.80000000001,10165.999999999993
2023-06-28 11:04:00+05:30,2023-06-28 12:10:00+05:30,1202.45,1204.8,42,78.69999999999618,SuperTrend Exit,-40356.90000000001,10323.399999999987
2023-06-28 12:37:00+05:30,2023-06-28 13:25:00+05:30,1205.75,1206.75,42,22.0,SuperTrend Exit,-40338.10000000001,10367.399999999987
2023-06-28 13:33:00+05:30,2023-06-28 13:41:00+05:30,1208.4,1207.7,42,-49.40000000000191,SuperTrend Exit,-40405.400000000016,10268.599999999984
2023-06-28 13:51:00+05:30,2023-06-28 14:08:00+05:30,1208.1,1205.95,42,-110.29999999999427,SuperTrend Exit,-40491.60000000001,10047.999999999993
2023-06-28 14:33:00+05:30,2023-06-28 15:00:00+05:30,1208.0,1205.25,41,-152.75,Stop Loss,-39500.00000000001,-39652.75000000001
